date,Hour,ad_mwh
8/17/2015,8,1042
8/17/2015,9,1106
8/17/2015,10,1143
8/17/2015,11,1178
8/17/2015,12,1198
8/17/2015,13,1208
8/17/2015,14,1222
8/17/2015,15,1201
8/17/2015,16,1219
8/17/2015,17,1231
8/17/2015,18,1224
8/17/2015,19,1185
8/17/2015,20,1136
8/17/2015,21,1160
8/17/2015,22,1136
8/17/2015,23,1048
8/17/2015,24,930
8/18/2015,1,883
8/18/2015,2,839
8/18/2015,3,821
8/18/2015,4,810
8/18/2015,5,825
8/18/2015,6,876
8/18/2015,7,947
8/18/2015,8,1052
8/18/2015,9,1113
8/18/2015,10,1149
8/18/2015,11,1183
8/18/2015,12,1185
8/18/2015,13,1208
8/18/2015,14,1221
8/18/2015,15,1220
8/18/2015,16,1227
8/18/2015,17,1232
8/18/2015,18,1216
8/18/2015,19,1178
8/18/2015,20,1136
8/18/2015,21,1135
8/18/2015,22,1110
8/18/2015,23,1020
8/18/2015,24,924
8/19/2015,1,856
8/19/2015,2,807
8/19/2015,3,790
8/19/2015,4,778
8/19/2015,5,794
8/19/2015,6,861
8/19/2015,7,966
8/19/2015,8,1058
8/19/2015,9,1121
8/19/2015,10,1157
8/19/2015,11,1188
8/19/2015,12,1214
8/19/2015,13,1239
8/19/2015,14,1254
8/19/2015,15,1270
8/19/2015,16,1270
8/19/2015,17,1279
8/19/2015,18,1274
8/19/2015,19,1213
8/19/2015,20,1164
