date,hour,mwh
8/11/2015,12H,190
8/11/2015,13H,178
8/11/2015,14H,174
8/11/2015,15H,166
8/11/2015,16H,194
8/11/2015,17H,260
8/11/2015,18H,269
8/11/2015,19H,250
8/11/2015,20H,450
8/11/2015,21H,487
8/11/2015,22H,584
8/11/2015,23H,465
8/12/2015,00H,483
8/12/2015,01H,470
8/12/2015,02H,377
8/12/2015,03H,369
8/12/2015,04H,333
8/12/2015,05H,304
8/12/2015,06H,206
8/12/2015,07H,208
8/12/2015,08H,194
8/12/2015,09H,191
8/12/2015,10H,171
8/12/2015,11H,171
8/12/2015,12H,175
8/12/2015,13H,188
8/12/2015,14H,192
8/12/2015,15H,161
8/12/2015,16H,306
8/12/2015,17H,237
8/12/2015,18H,353
8/12/2015,19H,366
8/12/2015,20H,244
8/12/2015,21H,386
8/12/2015,22H,433
8/12/2015,23H,360
8/13/2015,00H,352
8/13/2015,01H,339
8/13/2015,02H,299
8/13/2015,03H,317
8/13/2015,04H,275
8/13/2015,05H,308
8/13/2015,06H,198
8/13/2015,07H,157
8/13/2015,08H,216
8/13/2015,09H,206
8/13/2015,10H,163
8/13/2015,11H,169
8/13/2015,12H,213
8/13/2015,13H,183
8/13/2015,14H,200
8/13/2015,15H,157
8/13/2015,16H,296
8/13/2015,17H,306
8/13/2015,18H,281
8/13/2015,19H,359
8/13/2015,20H,357
8/13/2015,21H,463
8/13/2015,22H,438
8/13/2015,23H,478
8/14/2015,00H,514
8/14/2015,01H,544
8/14/2015,02H,441
8/14/2015,03H,365
8/14/2015,04H,338
8/14/2015,05H,316
8/14/2015,06H,316
8/14/2015,07H,226
8/14/2015,08H,221
8/14/2015,09H,159
8/14/2015,10H,145
8/14/2015,11H,157
8/14/2015,12H,159
8/14/2015,13H,193
8/14/2015,14H,194
8/14/2015,15H,168
8/14/2015,16H,279
8/14/2015,17H,243
8/14/2015,18H,248
8/14/2015,19H,224
8/14/2015,20H,213
8/14/2015,21H,296
8/14/2015,22H,294
8/14/2015,23H,316
8/15/2015,00H,279
8/15/2015,01H,319
8/15/2015,02H,310
8/15/2015,03H,271
8/15/2015,04H,272
8/15/2015,05H,265
8/15/2015,06H,169
8/15/2015,07H,171
8/15/2015,08H,201
8/15/2015,09H,187
8/15/2015,10H,158
8/15/2015,11H,154
8/15/2015,12H,188
8/15/2015,13H,155
